date,content,thumbUp
0621,昕姐冲！！！,24
0621,在看一次！,0
0621,为黄圣依，张雨绮，郑希怡打call,10
0621,姐姐们 我来了~~！！！,21
0621,我去，真的爱了，都是我喜欢的,13
0621,揭谛揭谛揭谛快点快点开始考科三考试,0
0621,支持杨幂,57
0621,啊啊啊坤坤我来了,44
0621,顾以森报道哈哈哈哈哈哈哈哈哈,14
0621,姐姐冲啊,19
0621,来了来了！！！,13
0621,来啦，打call姐姐们,4
0621,天天天，可可第一,33
0621,来了来了,25
0621,啊啊啊啊啊郁可唯我来了,21
0621,黄小明，面对姐姐们要挺住啊,9
0621,终于来了！！！,19
0621,姐姐我来了，哈哈哈哈哈,5
0621,我来了我来了我来了我来了我来了姐姐们冲冲冲哈哈哈哈哈,52
0621,啊啊啊啊啊啊啊啊姐姐们我来了,87
0621,来了来了 我来了,41
0621,宁静  宁静  宁静  为您打call  ,32
0621,这里的姐姐都好彪悍啊，怕了怕了,12
0621,第一啊啊啊啊啊啊,36
0621,啊啊啊啊啊居然就悄无声息的播了,67
0621,来了,2
0621,来了来了看姐姐,45
0621,姐姐们，我来了！,33
0621,来看孟佳孟佳孟佳！,25
0621,我来了我来了哈哈哈哈哈哈哈,10
0621,开场白梦回srrx晰哥低音,106
0621,黄晓明开始历险可还行,66
0621,看了好几遍啦   姐姐们 加油啊,2
0621,宁静宁静！,64
0621,哪个姐姐我都想pick,2
0621,恍恍惚惚哈哈,0
0621,为吴昕而来😍😍给我冲啊姐姐！！！,28
0621,付仙女，爸爸爱你,15
0621,来看宁静了 哈哈,10
0621,来了来了来了！！！！给姐姐们打call！！,3
0621,来了！！,8
0621,啊啊啊啊姐姐们我来了！,2
0621,姐姐们我来了,29
0621,刷第二遍了，全部看完要五个小时，哈哈哈,15
0621,哈哈哈哈哈哈我来了姐姐们,22
0621,昕姐昕姐加油加油(ง •̀_•́)ง,12
0621,哈哈哈千呼万唤始出来啊,2
0621,看多了其他的选秀节目，把姐姐们想得简单了,0
0621,万茜冲啊！！！！筒子来啦！！！！,53
0621,这个综艺我锁了,30
0621,晓明哥的微博，每一位哈哈哈哈哈哈笑死我,8
0621,哈哈哈我是来看各位漂亮姐姐互撕的哈哈哈哈,4
0621,万茜冲啊！,30
0621,啊啊啊 姐姐们我来了,1
0621,小明历险记哈哈哈哈哈,65
0621,哈哈哈哈哈哈   来了来了,34
0621,没有一点点防备你就这样出现,22
0621,给绮绮子排面！,44
0621,啊啊啊啊啊，来了来了,21
0621,来报道啦啊啊啊啊啊啊乘风破浪的姐姐们加油pick你们,17
0621,这个文案爱了,6
0621,昕昕子给我冲冲冲冲冲冲冲冲冲冲,16
0621,张雨绮姐姐冲！,61
0621,来了来了哈哈哈哈哈 让我来康康,14
0621,姐子们我来看你们了！,11
0621,芒果搞快点 下下一集快点出啊！！！！,7
0621,啥时候开始的，没一点消息,19
0621,期待吴昕！！！！,19
0621,来了来了姐姐们我又来了,6
0621,不错子 来了啦了,11
0621,终于等到了啊啊啊，啊啊啊啊啊,0
0621,姐姐们   我来了,6
0621,吴昕加油！你一票我一票明天吴昕就出道,70
0621,期待金晨,49
0621,姐姐们我来啦,26
0621,哈哈哈哈哈就我是冲海陆来的吗,12
0621,郁可唯！！？！,22
0621,宁静宁静！！！！？！！！,0
0621,吴昕加油,68
0621,姐姐们冲鸭,32
0621,佳菲猫 miss a冲啊！！！！,11
0621,喜欢李斯丹妮跟含韵，丁当，宁静，,2
0621,终于！,13
0621,啊啊啊啊啊啊啊啊啊啊霏霏给我冲鸭！！,0
0621,必须留名啊！可以载入综艺史册的！,18
0621,姐姐们我来了,27
0621,这个旁白人声可以，表白这个旁白人声小哥哥,15
0621,欣姐加油欣姐加油,18
0621,昕昕子 加油鸭,10
0621,抖音过来的，集合了,2
0621,终于等到你,17
0621,姐姐们我来啦！！！,17
0621,来了来了姐姐们好,15
0621,这是不是花少的背景人声,4
0621,啊啊啊啊姐姐蓝盈莹pick她！！❤️❤️❤️冲啊！,1
0621,特意冲了会员,14
0621,吴昕  金晨   宁静   张雨绮出道吧,11
0621,小明历险记我来啦,41
0621,来看姐姐了！！！静姐冲！！！,8
0621,有人说不够流行就不够资格哈哈哈,8
0621,为姐姐们加油 不一样的女团 跨界勇敢 蓝盈莹金晨 黄晓明制作人主持加油 教主暖心,0
0621,姐姐们冲鸭,8
0621,吴昕姐姐，加油加油💪，你一票我一票明天昕姐能出道。,12
0621,孟佳霏霏加油,63
0621,来啦来啦，淋雨一直走前来打call，昕昕子冲啊,8
0621,海陆的当时是说自己的 而且声音很小,5
0621,天呐哇哇哇,8
0621,姐姐们冲啊！！！！！！！！！！,2
0621,姐姐们最牛 冲！！！！,22
0621,我大湖南台还是牛,20
0621,王霏霏 孟佳冲啊！！！！！,12
0621,蓝盈莹 沈梦辰 吴昕 给我冲！！！,2
0621,万茜冲冲冲,19
0621,万茜姐姐姐姐我来了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1
0621,金晨加油！,23
0621,我来了！！期待万茜,23
0621,刚冲的会员，听说挺好看的,4
0621,第一第一，期待姐姐们,17
